player_name,team,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
Hákon Rafn Valdimarsson,Brentford,72,60,71,1,0,0,72,0,0,,0,,44,191,80,0,0,0,0,0,36,0
Edmond-Paris Maghoma,Brentford,101,2,18,58,27,4,101,4,3,75.0,1,25.0,68,414,221,4,3,1,2,0,75,4
Rico Henry,Brentford,45,6,19,22,4,0,45,2,0,0.0,1,50.0,19,89,18,0,0,0,3,2,18,1
Yunus Emre Konak,Brentford,53,0,9,27,17,0,53,2,0,0.0,2,100.0,17,67,41,1,1,1,3,3,28,2
Kim Jisoo,Brentford,30,1,15,12,3,0,30,0,0,,0,,15,57,22,0,0,0,0,1,22,0
Frank Onyeka,Brentford,10,0,1,5,4,0,10,0,0,,0,,6,55,14,0,0,0,2,1,6,0
Gustavo Nunes,Brentford,7,1,4,1,2,1,7,0,0,,0,,1,16,11,1,0,1,1,0,1,0
Jayden Meghoma,Brentford,3,1,2,0,1,0,3,0,0,,0,,1,1,0,0,0,0,0,0,2,0
Ryan Trevitt,Brentford,7,1,2,4,1,0,7,0,0,,0,,4,7,2,0,0,0,0,0,4,1
Squad Total,Brentford,20347,3125,7902,7626,5001,929,20342,590,254,43.1,270,45.8,10691,58123,29644,559,344,199,512,279,12444,1256
Opponent Total,Brentford,21977,2470,6792,8603,6763,1141,21976,626,263,42.0,299,47.8,12203,64471,34768,791,557,287,469,300,14191,1478
Bart Verbruggen,Brighton,1338,1062,1325,13,0,0,1338,2,2,100.0,0,0.0,906,3353,1709,0,1,1,2,0,856,0
Jan Paul van Hecke,Brighton,2437,261,1039,1263,155,30,2437,11,5,45.5,4,36.4,1617,10052,6867,53,43,0,12,7,1709,5
Carlos Baleba,Brighton,1600,90,392,941,309,12,1600,54,32,59.3,19,35.2,920,5275,2625,40,42,3,38,38,973,28
Kaoru Mitoma,Brighton,1315,15,152,451,740,158,1315,128,50,39.1,73,57.0,793,6352,3691,139,77,55,52,22,920,279
Pervis Estupiñán,Brighton,1833,80,467,902,482,32,1833,30,16,53.3,13,43.3,982,4700,2474,57,59,9,32,27,1106,109
Lewis Dunk,Brighton,2127,258,993,1031,113,21,2127,1,0,0.0,1,100.0,1341,6155,3345,20,19,0,9,3,1556,3
Danny Welbeck,Brighton,691,17,56,305,336,93,690,36,12,33.3,21,58.3,428,1952,835,20,21,8,48,27,519,88
João Pedro,Brighton,940,12,60,387,508,122,935,86,29,33.7,47,54.7,616,3821,1821,66,39,30,72,38,732,128
Jack Hinshelwood,Brighton,1141,50,316,532,299,27,1141,11,2,18.2,8,72.7,567,2362,1145,18,20,2,16,3,717,47
Yasin Ayari,Brighton,1164,55,262,591,330,44,1164,44,18,40.9,17,38.6,618,3088,1412,30,25,6,35,22,749,60
Joël Veltman,Brighton,1102,65,328,544,240,10,1102,15,4,26.7,5,33.3,526,2815,1448,30,22,3,19,7,599,32
Georginio Rutter,Brighton,641,20,83,246,326,79,641,71,27,38.0,34,47.9,361,2467,1405,42,36,16,45,37,411,79
Yankuba Minteh,Brighton,757,30,131,214,430,124,757,85,40,47.1,38,44.7,434,3160,1870,77,21,57,49,24,447,174
Matt O'Riley,Brighton,503,19,76,226,203,42,503,13,8,61.5,4,30.8,262,1088,516,20,11,8,17,3,291,49
Simon Adingra,Brighton,502,10,66,161,281,65,502,48,21,43.8,27,56.3,335,2219,1125,41,18,21,36,11,351,120
Tariq Lamptey,Brighton,535,29,161,224,154,11,535,31,10,32.3,18,58.1,292,2081,1034,32,17,3,11,5,302,45
Igor,Brighton,764,109,377,353,38,1,764,4,3,75.0,1,25.0,497,2837,1782,9,14,0,1,0,568,0
Adam Webster,Brighton,620,95,311,292,22,8,620,3,1,33.3,2,66.7,360,2074,1194,7,2,0,3,1,411,2
Mats Wieffer,Brighton,745,46,190,396,171,14,745,14,7,50.0,6,42.9,435,2153,954,18,17,1,16,9,470,18
Brajan Gruda,Brighton,278,4,34,94,154,34,278,25,10,40.0,11,44.0,164,1170,539,17,18,10,11,21,182,48
Ferdi Kadioglu,Brighton,231,13,71,91,72,9,231,7,3,42.9,3,42.9,124,479,183,1,0,0,6,2,144,27
Diego Gómez,Brighton,355,19,81,193,86,6,355,12,6,50.0,6,50.0,169,634,291,6,3,0,6,9,212,14
James Milner,Brighton,92,3,13,48,31,4,92,1,1,100.0,0,0.0,46,223,97,1,1,0,0,0,58,10
Julio Enciso,Brighton,202,2,17,72,116,20,202,21,10,47.6,8,38.1,114,678,386,11,10,4,7,9,141,17
Evan Ferguson,Brighton,88,7,13,50,26,9,88,2,1,50.0,1,50.0,42,183,56,2,1,2,5,6,52,9
