player_name,team,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Agbinone,Crystal Palace,1,15.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ward,Crystal Palace,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pickford,Everton,12,0.33,11,1,0,0,0,0,2,0.06,2,0,0,0,0,0
Tarkowski,Everton,38,1.17,32,2,0,4,0,0,4,0.12,4,0,0,0,0,0
Mykolenko,Everton,38,1.18,36,0,1,1,0,0,3,0.09,2,0,0,1,0,0
Idrissa Gana Gueye,Everton,56,1.75,48,0,1,2,3,2,3,0.09,3,0,0,0,0,0
Doucouré,Everton,56,2.03,50,0,3,2,0,1,3,0.11,2,0,0,0,0,1
Branthwaite,Everton,13,0.48,11,1,0,0,1,0,2,0.07,1,1,0,0,0,0
Ndiaye,Everton,61,2.41,47,0,7,1,6,0,6,0.24,4,0,1,0,1,0
Harrison,Everton,56,2.57,38,8,4,2,4,0,4,0.18,1,0,0,1,2,0
Calvert-Lewin,Everton,25,1.42,14,0,4,2,3,2,4,0.23,1,0,2,0,1,0
Young,Everton,42,2.21,31,7,0,1,2,1,6,0.32,4,0,0,1,0,1
Garner,Everton,33,2.1,24,9,0,0,0,0,5,0.32,4,1,0,0,0,0
O'Brien,Everton,16,1.04,14,0,2,0,0,0,0,0.0,0,0,0,0,0,0
Lindstrøm,Everton,46,3.35,30,7,2,3,3,1,1,0.07,1,0,0,0,0,0
McNeil,Everton,64,4.46,35,20,4,2,2,1,8,0.56,4,2,1,0,0,1
Mangala,Everton,24,1.72,17,1,2,3,1,0,1,0.07,0,0,0,0,1,0
Beto,Everton,20,1.33,13,0,3,2,2,0,1,0.07,1,0,0,0,0,0
Keane,Everton,6,0.57,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alcaraz,Everton,29,3.94,23,1,3,1,1,0,6,0.81,5,0,0,1,0,0
Iroegbunam,Everton,10,1.57,6,0,1,0,1,2,1,0.16,1,0,0,0,0,0
Broja,Everton,7,1.89,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Patterson,Everton,11,2.85,8,1,2,0,0,0,1,0.26,1,0,0,0,0,0
Coleman,Everton,2,0.91,1,0,1,0,0,0,1,0.45,1,0,0,0,0,0
Dixon,Everton,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Armstrong,Everton,1,1.87,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Chermiti,Everton,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Holgate,Everton,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Leno,Fulham,5,0.14,5,0,0,0,0,0,2,0.06,2,0,0,0,0,0
Iwobi,Fulham,120,3.74,104,0,8,6,2,0,16,0.5,13,0,2,1,0,0
Robinson,Fulham,77,2.32,72,1,1,2,0,1,11,0.33,11,0,0,0,0,0
Bassey,Fulham,23,0.69,19,1,2,0,0,1,3,0.09,2,0,0,0,0,1
Jiménez,Fulham,61,2.37,44,1,2,9,4,1,6,0.23,3,0,0,1,1,1
Andersen,Fulham,31,1.17,24,1,0,6,0,0,2,0.08,1,1,0,0,0,0
Lukić,Fulham,50,2.08,32,11,0,5,1,1,3,0.12,2,0,0,1,0,0
Berge,Fulham,43,1.78,38,1,1,1,0,2,2,0.08,2,0,0,0,0,0
Pereira,Fulham,103,4.75,53,41,0,4,4,1,8,0.37,4,2,0,0,2,0
Emile Smith Rowe,Fulham,68,3.14,53,0,3,7,2,3,12,0.55,10,0,1,0,0,1
Tete,Fulham,34,1.92,26,0,2,3,2,1,3,0.17,3,0,0,0,0,0
Castagne,Fulham,25,1.36,21,0,1,2,1,0,3,0.16,2,0,0,1,0,0
Traoré,Fulham,77,4.28,62,0,9,4,0,2,9,0.5,8,0,1,0,0,0
Diop,Fulham,6,0.4,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Wilson,Fulham,41,3.43,29,6,0,3,2,1,3,0.25,2,0,0,0,1,0
Muniz,Fulham,17,1.59,10,0,2,2,2,1,2,0.19,1,0,1,0,0,0
Sessegnon,Fulham,20,3.25,17,0,0,2,1,0,4,0.65,4,0,0,0,0,0
Nelson,Fulham,31,5.73,21,2,3,4,0,1,1,0.18,1,0,0,0,0,0
Cuenca,Fulham,1,0.35,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Cairney,Fulham,28,4.91,25,2,0,0,1,0,3,0.53,3,0,0,0,0,0
Willian,Fulham,17,5.93,11,4,0,2,0,0,0,0.0,0,0,0,0,0,0
King,Fulham,6,6.14,4,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Reed,Fulham,1,0.89,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Godo,Fulham,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Vinícius,Fulham,2,11.25,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0
Stansfield,Fulham,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
O'Shea,Ipswich Town,22,0.67,18,0,0,1,2,1,4,0.12,4,0,0,0,0,0
Delap,Ipswich Town,62,2.19,28,0,12,7,13,2,7,0.25,3,0,2,0,2,0
Davis,Ipswich Town,85,2.98,42,36,3,2,1,1,4,0.14,3,0,1,0,0,0
Morsy,Ipswich Town,44,1.54,39,4,0,0,1,0,2,0.07,2,0,0,0,0,0
Hutchinson,Ipswich Town,72,2.7,53,0,8,5,4,2,6,0.22,6,0,0,0,0,0
Greaves,Ipswich Town,15,0.67,13,1,0,1,0,0,0,0.0,0,0,0,0,0,0
Cajuste,Ipswich Town,30,1.49,23,2,4,0,0,1,1,0.05,0,0,1,0,0,0
Muric,Ipswich Town,1,0.06,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Tuanzebe,Ipswich Town,14,0.82,12,1,0,0,1,0,2,0.12,2,0,0,0,0,0
Burgess,Ipswich Town,14,0.82,14,0,0,0,0,0,3,0.18,3,0,0,0,0,0
Johnson,Ipswich Town,24,1.6,12,9,0,1,2,0,5,0.33,4,0,0,1,0,0
Phillips,Ipswich Town,17,1.24,13,3,0,1,0,0,3,0.22,3,0,0,0,0,0
Szmodics,Ipswich Town,9,0.83,7,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Woolfenden,Ipswich Town,2,0.15,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Palmer,Ipswich Town,2,0.17,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Burns,Ipswich Town,16,1.55,12,0,1,1,2,0,1,0.1,1,0,0,0,0,0
Clarke,Ipswich Town,43,3.55,37,2,2,0,0,2,5,0.41,4,1,0,0,0,0
Enciso,Ipswich Town,26,2.93,14,4,5,2,0,1,4,0.45,2,1,1,0,0,0
Chaplin,Ipswich Town,21,2.47,19,2,0,0,0,0,1,0.12,1,0,0,0,0,0
Broadhead,Ipswich Town,19,2.83,14,0,5,0,0,0,2,0.3,1,0,1,0,0,0
Walton,Ipswich Town,2,0.33,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Jaden Philogene Bidace,Ipswich Town,9,1.71,6,0,1,1,1,0,0,0.0,0,0,0,0,0,0
Taylor,Ipswich Town,21,2.29,14,1,2,2,0,2,2,0.22,2,0,0,0,0,0
Clarke,Ipswich Town,1,0.24,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Hirst,Ipswich Town,8,1.37,7,0,0,1,0,0,3,0.51,2,0,0,1,0,0
Townsend,Ipswich Town,5,1.34,4,1,0,0,0,0,1,0.27,1,0,0,0,0,0
Ogbene,Ipswich Town,3,1.13,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0
