id,player_name,team,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
166,Trevoh Chalobah,Chelsea,2,0,0,9,7,0,0,0,0,29,23,12,65.7
167,Roméo Lavia,Chelsea,4,0,0,15,6,0,0,1,0,39,12,3,80
168,Reece James,Chelsea,1,0,0,6,11,0,0,0,0,57,22,6,78.6
169,Christopher Nkunku,Chelsea,2,0,0,16,11,3,0,0,0,29,16,22,42.1
170,Filip Jørgensen,Chelsea,0,0,0,1,1,0,0,1,0,5,0,0,0
171,Axel Disasi,Chelsea,1,0,0,2,0,0,0,0,0,15,5,2,71.4
172,João Félix,Chelsea,2,0,0,6,17,1,0,0,0,22,4,5,44.4
173,Benoît Badiashile,Chelsea,0,0,0,6,2,0,0,0,0,18,8,2,80
174,Kiernan Dewsbury-Hall,Chelsea,0,0,0,4,6,0,0,0,0,9,0,1,0
175,Joshua Acheampong,Chelsea,1,0,0,0,1,0,0,0,0,7,1,6,14.3
176,Renato Veiga,Chelsea,2,0,0,6,1,1,0,0,0,9,3,3,50
177,Mykhailo Mudryk,Chelsea,0,0,0,2,2,1,0,0,0,9,2,4,33.3
178,Tyrique George,Chelsea,1,0,0,2,0,1,0,0,0,3,0,3,0
179,Marc Guiu,Chelsea,0,0,0,0,0,0,0,0,0,2,0,1,0
180,Mathis Amougou,Chelsea,0,0,0,0,0,0,0,0,0,2,0,0,0
181,Shumaira Mheuka,Chelsea,0,0,0,0,0,0,0,0,0,0,1,0,100
184,Dean Henderson,Crystal Palace,3,0,0,0,2,0,0,0,0,26,11,1,91.7
185,Daniel Muñoz,Crystal Palace,10,0,0,56,19,15,0,0,0,171,58,78,42.6
186,Tyrick Mitchell,Crystal Palace,2,0,0,23,25,2,1,0,0,168,20,21,48.8
187,Maxence Lacroix,Crystal Palace,5,0,0,34,19,1,0,1,0,130,60,50,54.5
188,Marc Guéhi,Crystal Palace,9,1,1,24,27,1,0,0,3,146,68,58,54
189,Jean-Philippe Mateta,Crystal Palace,2,0,0,27,28,21,0,0,0,68,63,107,37.1
190,Eberechi Eze,Crystal Palace,1,0,0,13,51,9,0,0,0,146,7,37,15.9
191,Ismaila Sarr,Crystal Palace,4,0,0,14,56,11,1,0,0,113,37,52,41.6
192,Jefferson Lerma,Crystal Palace,9,0,0,35,39,0,0,0,0,154,41,39,51.3
193,Will Hughes,Crystal Palace,11,0,0,65,31,0,0,1,0,121,19,18,51.4
194,Chris Richards,Crystal Palace,4,1,1,11,5,1,1,0,0,51,48,41,53.9
195,Adam Wharton,Crystal Palace,2,0,0,12,21,0,0,0,0,102,7,16,30.4
196,Daichi Kamada,Crystal Palace,4,1,0,28,21,2,0,0,0,89,4,13,23.5
197,Trevoh Chalobah,Crystal Palace,1,0,0,10,15,1,0,0,0,56,22,19,53.7
198,Eddie Nketiah,Crystal Palace,6,1,1,31,29,5,1,0,0,26,21,38,35.6
199,Nathaniel Clyne,Crystal Palace,1,0,0,2,2,0,0,0,0,10,1,7,12.5
200,Justin Devenny,Crystal Palace,1,0,0,8,0,1,0,0,0,27,2,13,13.3
201,Cheick Doucouré,Crystal Palace,1,0,0,7,7,0,0,0,0,31,5,5,50
202,Ben Chilwell,Crystal Palace,1,0,0,2,3,2,0,0,0,20,3,4,42.9
203,Romain Esse,Crystal Palace,0,0,0,2,3,0,0,0,0,9,3,2,60
204,Odsonne Édouard,Crystal Palace,0,0,0,4,0,2,0,0,0,5,1,4,20
205,Joachim Andersen,Crystal Palace,1,0,0,2,0,0,0,0,0,7,2,0,100
206,Chadi Riad,Crystal Palace,0,0,0,1,0,0,0,0,0,4,2,4,33.3
