id,player_name,team,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
300,Ali Al Hamadi,Ipswich Town,30,0,0,0,0,0,0,0,0,0,0,25,0,1
301,Marcus Harness,Ipswich Town,16,0,0,0,0,0,0,0,0,0,0,10,0,1
302,George Edmundson,Ipswich Town,2,0,0,0,0,0,0,0,0,0,0,1,0,1
305,Jamie Vardy,Leicester City,335,47,0,1,1,11,0,0,0,0,0,258,7,15
306,James Justin,Leicester City,1268,270,22,1,2,57,248,0,0,0,0,1205,3,40
307,Wout Faes,Leicester City,1507,54,27,2,7,5,6,0,0,0,0,1376,3,7
308,Victor Bernth Kristiansen,Leicester City,1067,246,40,1,2,97,189,17,14,2,0,1023,8,24
309,Wilfred Ndidi,Leicester City,1020,22,13,4,4,30,9,0,0,0,0,839,3,26
310,Mads Hermansen,Leicester City,840,229,86,0,2,0,0,0,0,0,0,654,4,1
311,Bilal El Khannouss,Leicester City,928,130,28,11,8,89,14,36,19,10,1,798,5,26
312,Boubakary Soumaré,Leicester City,1220,11,8,3,1,10,3,0,0,0,0,1073,3,15
313,Conor Coady,Leicester City,1010,58,29,2,3,0,1,0,0,0,0,977,4,4
314,Jordan Ayew,Leicester City,490,49,13,3,2,60,5,28,15,8,3,401,1,11
315,Harry Winks,Leicester City,981,61,35,4,2,34,5,16,11,3,0,910,3,11
316,Stephy Mavididi,Leicester City,588,20,2,6,0,69,11,7,4,2,0,460,5,24
317,Jannik Vestergaard,Leicester City,890,68,26,0,2,0,0,0,0,0,0,870,1,4
318,Facundo Buonanotte,Leicester City,501,67,24,7,4,43,10,26,19,1,0,437,4,9
319,Luke Thomas,Leicester City,518,108,20,0,0,29,80,8,4,3,0,493,3,14
320,Caleb Okoli,Leicester City,597,51,21,1,3,1,4,0,0,0,0,559,0,8
321,Oliver Skipp,Leicester City,497,4,3,2,0,5,1,0,0,0,0,419,1,12
322,Jakub Stolarczyk,Leicester City,286,100,42,0,1,0,0,0,0,0,0,238,0,1
323,Kasey McAteer,Leicester City,241,7,0,0,0,21,7,0,0,0,0,183,4,13
324,Bobby De Cordova-Reid,Leicester City,198,8,1,0,0,15,6,0,0,0,0,145,0,15
325,Patson Daka,Leicester City,138,9,0,2,0,3,6,0,0,0,0,106,0,11
326,Abdul Fatawu Issahaku,Leicester City,186,11,1,2,2,30,9,1,0,0,0,123,0,18
327,Ricardo Pereira,Leicester City,207,40,6,0,1,3,34,0,0,0,0,207,1,3
328,Danny Ward,Leicester City,46,7,0,0,0,0,0,0,0,0,0,41,0,0
329,Hamza Choudhury,Leicester City,81,3,0,0,0,5,3,0,0,0,0,72,0,1
330,Woyo Coulibaly,Leicester City,44,13,0,0,0,0,13,0,0,0,0,48,0,0
331,Jeremy Monga,Leicester City,28,1,1,0,0,4,0,0,0,0,0,18,0,5
332,Odsonne Édouard,Leicester City,8,0,0,0,0,0,0,0,0,0,0,6,0,1
333,Jake Evans,Leicester City,3,0,0,0,0,0,0,0,0,0,0,2,0,0
334,Olabade Aluko,Leicester City,4,1,1,0,0,0,0,0,0,0,0,3,0,0
335,Will Alves,Leicester City,1,0,0,0,0,0,0,0,0,0,0,1,0,0
336,Michael Golding,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,Mohamed Salah,Liverpool,1227,30,7,19,3,79,23,0,0,0,0,892,6,62
340,Virgil van Dijk,Liverpool,2708,224,86,1,22,1,8,0,0,0,0,2688,3,9
341,Ryan Gravenberch,Liverpool,1889,32,16,8,7,7,10,0,0,0,0,1718,6,15
342,Alexis Mac Allister,Liverpool,1403,116,35,6,3,86,9,71,26,36,0,1273,5,31
343,Ibrahima Konaté,Liverpool,1856,46,41,1,5,0,5,0,0,0,0,1718,3,9
344,Dominik Szoboszlai,Liverpool,1202,118,21,5,14,41,36,17,9,6,0,1114,2,27
345,Andrew Robertson,Liverpool,1579,300,50,4,6,147,191,59,41,11,0,1559,6,35
346,Alisson,Liverpool,836,121,41,1,1,0,0,0,0,0,0,794,2,1
347,Luis Díaz,Liverpool,855,17,2,2,9,32,14,1,0,0,0,736,2,24
348,Trent Alexander-Arnold,Liverpool,1651,310,63,12,32,153,192,55,34,12,1,1448,10,36
349,Cody Gakpo,Liverpool,616,16,4,3,4,74,11,1,0,0,0,480,2,10
350,Curtis Jones,Liverpool,1037,58,11,2,2,8,28,1,0,0,0,1021,2,10
351,Diogo Jota,Liverpool,305,3,0,1,2,8,1,0,0,0,0,216,2,15
352,Caoimhín Kelleher,Liverpool,344,38,20,0,0,0,0,0,0,0,0,289,0,1
353,Kostas Tsimikas,Liverpool,536,116,12,1,1,64,63,41,32,6,0,550,2,9
354,Darwin Núñez,Liverpool,225,4,0,1,6,3,2,0,0,0,0,163,1,13
355,Conor Bradley,Liverpool,471,71,13,0,2,7,58,0,0,0,0,456,2,12
356,Joe Gomez,Liverpool,406,18,12,1,5,2,6,0,0,0,0,377,1,2
357,Jarell Quansah,Liverpool,360,32,10,0,1,2,12,0,0,0,0,356,0,2
358,Harvey Elliott,Liverpool,267,22,2,1,3,12,8,6,3,1,0,240,3,4
359,Wataru Endo,Liverpool,188,6,2,0,0,1,4,0,0,0,0,182,0,2
360,Federico Chiesa,Liverpool,30,1,0,0,0,2,1,0,0,0,0,27,0,1
361,Vitezslav Jaros,Liverpool,7,1,0,0,0,0,0,0,0,0,0,6,0,0
362,Jayden Danns,Liverpool,1,0,0,0,0,0,0,0,0,0,0,1,0,0
365,Joško Gvardiol,Manchester City,2429,189,36,6,9,22,146,0,0,0,0,2381,7,28
366,Erling Haaland,Manchester City,344,7,0,1,0,3,1,0,0,0,0,234,2,8
367,Bernardo Silva,Manchester City,1521,121,52,3,5,56,43,13,3,0,0,1433,1,33
368,Ederson,Manchester City,745,94,26,1,2,0,0,0,0,0,0,741,0,1
369,Mateo Kovačić,Manchester City,1763,30,29,15,8,0,0,0,0,0,0,1660,4,14
370,Rúben Dias,Manchester City,2102,75,40,0,8,3,2,0,0,0,0,2038,3,14
371,İlkay Gündoğan,Manchester City,1470,101,30,7,3,57,4,43,28,4,1,1408,5,19
