id,player_name,team,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
160,Noni Madueke,Chelsea,77,3.73,55,0,10,7,4,1,8,0.39,5,0,0,1,1,1
161,Pedro Neto,Chelsea,88,3.77,64,8,6,6,4,0,8,0.34,5,1,2,0,0,0
162,Malo Gusto,Chelsea,58,2.82,57,0,0,1,0,0,4,0.19,4,0,0,0,0,0
163,Jadon Sancho,Chelsea,68,3.59,61,0,3,1,3,0,10,0.53,9,0,0,0,1,0
164,Wesley Fofana,Chelsea,15,1.15,12,1,1,1,0,0,0,0,0,0,0,0,0,0
165,Tosin Adarabioyo,Chelsea,12,0.88,7,0,0,5,0,0,1,0.07,0,0,0,1,0,0
166,Trevoh Chalobah,Chelsea,13,1.29,10,0,0,2,0,1,3,0.3,1,0,0,1,0,1
167,Roméo Lavia,Chelsea,14,1.66,13,0,0,0,0,1,2,0.24,2,0,0,0,0,0
168,Reece James,Chelsea,16,1.63,10,5,0,1,0,0,1,0.1,0,0,0,1,0,0
169,Christopher Nkunku,Chelsea,34,3.32,21,0,5,5,1,2,4,0.39,1,0,1,1,1,0
170,Filip Jørgensen,Chelsea,1,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Axel Disasi,Chelsea,2,0.49,2,0,0,0,0,0,0,0,0,0,0,0,0,0
172,João Félix,Chelsea,18,4.38,12,0,2,3,1,0,3,0.73,1,0,1,0,1,0
173,Benoît Badiashile,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Kiernan Dewsbury-Hall,Chelsea,5,1.73,5,0,0,0,0,0,1,0.35,1,0,0,0,0,0
175,Joshua Acheampong,Chelsea,2,1.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Renato Veiga,Chelsea,1,0.49,0,0,0,1,0,0,0,0,0,0,0,0,0,0
177,Mykhailo Mudryk,Chelsea,6,3.6,4,1,0,0,1,0,0,0,0,0,0,0,0,0
178,Tyrique George,Chelsea,6,5.24,5,0,1,0,0,0,1,0.87,1,0,0,0,0,0
179,Marc Guiu,Chelsea,1,1.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Mathis Amougou,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Shumaira Mheuka,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Dean Henderson,Crystal Palace,4,0.11,3,1,0,0,0,0,0,0,0,0,0,0,0,0
185,Daniel Muñoz,Crystal Palace,85,2.37,69,2,2,6,1,5,11,0.31,9,0,1,1,0,0
186,Tyrick Mitchell,Crystal Palace,72,2.1,65,1,0,3,2,1,7,0.2,6,0,0,0,1,0
187,Maxence Lacroix,Crystal Palace,28,0.81,23,1,0,4,0,0,4,0.12,2,1,0,1,0,0
188,Marc Guéhi,Crystal Palace,44,1.29,36,0,0,4,2,2,5,0.15,4,0,0,0,0,1
189,Jean-Philippe Mateta,Crystal Palace,65,2.21,44,0,5,11,5,0,10,0.34,5,0,3,2,0,0
190,Eberechi Eze,Crystal Palace,135,4.69,72,29,11,13,9,1,10,0.35,9,1,0,0,0,0
191,Ismaila Sarr,Crystal Palace,110,3.65,81,0,6,9,14,0,12,0.4,9,0,1,0,2,0
192,Jefferson Lerma,Crystal Palace,47,1.86,37,5,1,3,0,1,3,0.12,3,0,0,0,0,0
193,Will Hughes,Crystal Palace,67,2.86,42,17,1,2,5,0,6,0.26,2,3,0,1,0,0
194,Chris Richards,Crystal Palace,9,0.42,5,0,0,2,1,1,2,0.09,0,0,0,2,0,0
195,Adam Wharton,Crystal Palace,59,4.03,45,11,0,2,0,1,6,0.41,4,2,0,0,0,0
196,Daichi Kamada,Crystal Palace,52,2.99,37,6,1,3,2,3,3,0.17,2,1,0,0,0,0
197,Trevoh Chalobah,Crystal Palace,11,0.93,10,0,1,0,0,0,0,0,0,0,0,0,0,0
198,Eddie Nketiah,Crystal Palace,31,2.69,20,0,3,3,5,0,3,0.26,2,0,0,0,1,0
199,Nathaniel Clyne,Crystal Palace,3,0.56,3,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Justin Devenny,Crystal Palace,15,2.66,12,2,0,1,0,0,1,0.18,1,0,0,0,0,0
201,Cheick Doucouré,Crystal Palace,9,1.79,5,0,0,2,1,1,3,0.6,1,0,0,1,1,0
202,Ben Chilwell,Crystal Palace,8,2.77,6,1,0,1,0,0,0,0,0,0,0,0,0,0
203,Romain Esse,Crystal Palace,8,5.18,6,0,1,0,1,0,3,1.94,1,0,1,0,1,0
204,Odsonne Édouard,Crystal Palace,1,0.78,1,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Joachim Andersen,Crystal Palace,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Chadi Riad,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Joel Ward,Crystal Palace,1,1.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Jeffrey Schlupp,Crystal Palace,7,6.06,5,0,1,1,0,0,0,0,0,0,0,0,0,0
209,Matheus França,Crystal Palace,3,4.91,2,0,0,1,0,0,0,0,0,0,0,0,0,0
210,Jordan Ayew,Crystal Palace,1,4.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Caleb Kporha,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Asher Agbinone,Crystal Palace,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Jordan Pickford,Everton,13,0.34,12,1,0,0,0,0,2,0.05,2,0,0,0,0,0
216,Vitaliy Mykolenko,Everton,43,1.26,40,0,1,2,0,0,4,0.12,3,0,0,1,0,0
217,Idrissa Gana Gueye,Everton,60,1.76,52,0,1,2,3,2,4,0.12,4,0,0,0,0,0
218,James Tarkowski,Everton,38,1.17,32,2,0,4,0,0,4,0.12,4,0,0,0,0,0
219,Abdoulaye Doucouré,Everton,58,2.04,52,0,3,2,0,1,3,0.11,2,0,0,0,0,1
220,Iliman Ndiaye,Everton,65,2.41,49,0,9,1,6,0,8,0.3,5,0,2,0,1,0
221,Jarrad Branthwaite,Everton,13,0.47,11,1,0,0,1,0,2,0.07,1,1,0,0,0,0
222,Jack Harrison,Everton,57,2.47,38,9,4,2,4,0,4,0.17,1,0,0,1,2,0
223,Ashley Young,Everton,47,2.25,34,8,0,1,2,2,6,0.29,4,0,0,1,0,1
224,Dominic Calvert-Lewin,Everton,26,1.46,14,0,4,3,3,2,4,0.22,1,0,2,0,1,0
225,James Garner,Everton,39,2.2,27,11,0,0,0,1,5,0.28,4,1,0,0,0,0
226,Jake O'Brien,Everton,16,0.92,14,0,2,0,0,0,0,0,0,0,0,0,0,0
227,Beto,Everton,26,1.52,16,0,3,3,4,0,1,0.06,1,0,0,0,0,0
228,Dwight McNeil,Everton,72,4.73,39,22,6,2,2,1,10,0.66,5,2,2,0,0,1
229,Jesper Lindstrøm,Everton,46,3.35,30,7,2,3,3,1,1,0.07,1,0,0,0,0,0
230,Orel Mangala,Everton,24,1.72,17,1,2,3,1,0,1,0.07,0,0,0,0,1,0
231,Michael Keane,Everton,6,0.51,6,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Carlos Alcaraz,Everton,33,3.89,24,2,3,3,1,0,6,0.71,5,0,0,1,0,0
233,Tim Iroegbunam,Everton,10,1.57,6,0,1,0,1,2,1,0.16,1,0,0,0,0,0
234,Armando Broja,Everton,7,1.89,7,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Nathan Patterson,Everton,11,2.85,8,1,2,0,0,0,1,0.26,1,0,0,0,0,0
236,Séamus Coleman,Everton,2,0.84,1,0,1,0,0,0,1,0.42,1,0,0,0,0,0
237,Roman Dixon,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Harrison Armstrong,Everton,1,1.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Youssef Chermiti,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Mason Holgate,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Bernd Leno,Fulham,6,0.16,6,0,0,0,0,0,2,0.05,2,0,0,0,0,0
244,Antonee Robinson,Fulham,80,2.27,74,1,2,2,0,1,11,0.31,11,0,0,0,0,0
245,Alex Iwobi,Fulham,122,3.68,106,0,8,6,2,0,16,0.48,13,0,2,1,0,0
246,Calvin Bassey,Fulham,23,0.67,19,1,2,0,0,1,3,0.09,2,0,0,0,0,1
247,Raúl Jiménez,Fulham,66,2.38,48,1,2,9,5,1,7,0.25,4,0,0,1,1,1
248,Joachim Andersen,Fulham,35,1.23,27,1,0,7,0,0,2,0.07,1,1,0,0,0,0
249,Saša Lukić,Fulham,55,2.11,36,12,0,5,1,1,4,0.15,3,0,0,1,0,0
250,Sander Berge,Fulham,48,1.94,43,1,1,1,0,2,2,0.08,2,0,0,0,0,0
251,Emile Smith Rowe,Fulham,73,3.22,57,0,3,8,2,3,12,0.53,10,0,1,0,0,1
252,Andreas Pereira,Fulham,104,4.65,54,41,0,4,4,1,8,0.36,4,2,0,0,2,0
253,Kenny Tete,Fulham,36,1.83,28,0,2,3,2,1,4,0.2,4,0,0,0,0,0
254,Adama Traoré,Fulham,82,4.16,66,0,9,4,1,2,10,0.51,9,0,1,0,0,0
255,Timothy Castagne,Fulham,25,1.36,21,0,1,2,1,0,3,0.16,2,0,0,1,0,0
